name,price,mileage,mpg,ext_color,int_color,transmission,rwd,condition,year,engine_size,engine_info
  488 Spider,284999,6598,18.5,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,3.9,8-Cylinder Turbo Gas Engine
  Portofino M,314988,333,19.5,Blu Tour De France Metallic Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Certified,2023,3.9,8-Cylinder Turbo Gas Engine
  812 Superfast,439990,2217,14.0,Black Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,6.5,12-Cylinder Gas Engine
  488 GTB,269895,6674,18.5,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,429895,7368,16.5,Blu Pozzi Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Used,2021,3.9,8-Cylinder Turbo Gas Engine
  Portofino,209998,3743,19.0,Nero Daytona Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,3.9,8-Cylinder Turbo Gas Engine
  Roma,257800,6104,19.5,Celeste Metallic Exterior,Terra Bruciata Leather Seats,8-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  Portofino M,324900,391,19.5,Blu Tour De France Exterior,Cuoio Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,239900,8708,18.5,Red Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017,3.9,8-Cylinder Turbo Gas Engine
  812 Superfast,368995,4495,14.0,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020,6.5,12-Cylinder Gas Engine
  488 Pista Coupe,549800,3016,17.5,Rosso Scuderia Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,3.9,8-Cylinder Turbo Gas Engine
  458 Speciale Coupe,549900,7960,15.0,Rosso Corsa Exterior,Nero Interior,7-Speed Automatic Transmission,yes,Certified,2015,4.5,8-Cylinder Gas Engine
  Portofino M,289000,2489,19.5,Blue Pozzi Exterior,Cuoio Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  Roma,239900,4328,19.5,Grigio Titanio Metallic Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Used,2021,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,284995,6900,18.5,Red Exterior,Red Leather Seats,7-Speed Automatic Transmission,yes,Used,2017,3.9,8-Cylinder Turbo Gas Engine
  California,129991,12697,16.5,Blue Exterior,Tan Leather Seats,7-Speed Automatic Transmission,yes,Used,2014,4.3,8-Cylinder Gas Engine
  F8 Tributo,384991,4595,17.0,Rosso Corsa Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,234991,11430,18.5,Giallo Modena Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,3.9,8-Cylinder Turbo Gas Engine
  F8 Tributo,369995,6518,17.0,Rosso Corsa Exterior,Leather Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020,3.9,8-Cylinder Turbo Gas Engine
  Roma,284900,574,19.5,White Exterior,Red Leather Seats,8-Speed Automatic Transmission,yes,Certified,2023,3.9,8-Cylinder Turbo Gas Engine
  488 Pista Coupe,595000,817,17.5,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020,3.9,8-Cylinder Turbo Gas Engine
  Roma,234900,12339,19.5,Red Exterior,Gray Leather Seats,8-Speed Automatic Transmission,yes,Used,2021,3.9,8-Cylinder Turbo Gas Engine
  F12 Berlinetta,269900,8990,14.0,Nero Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,6.3,12-Cylinder Gas Engine
  360 Spider,159999,20425,12.5,Nero Ds Exterior,Nero Leather Seats,6-Speed Manual Transmission,yes,Used,2004,3.6,8-Cylinder Gas Engine
  488 GTB,279900,8308,18.5,Corsa Red Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,499900,401,16.5,Rosso Dino Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2023,3.9,8-Cylinder Turbo Gas Engine
  Portofino,221900,13036,19.0,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  F430 Scuderia,429900,1220,13.5,Red Exterior,Black Leather Seats,6-Speed Automatic Transmission,yes,Used,2009,4.3,8-Cylinder Gas Engine
  F8 Tributo,394990,1522,17.0,Black Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021,3.9,8-Cylinder Turbo Gas Engine
  F430 Spider,137995,14035,13.5,Argento Nurburgring Exterior,Black Leather Seats,Automatic Transmission,yes,Used,2006,4.3,8-Cylinder Gas Engine
  488 Spider,314488,8146,18.5,Rosso Corsa Exterior,Cuoio Leather W/Rosso Stitchin Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,299990,9126,18.5,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,279950,2655,18.5,Bianco Avus W/ Stealth Ppf Exterior,Nero & Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,329900,2673,18.5,Red Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017,3.9,8-Cylinder Turbo Gas Engine
  458 Italia Coupe,178500,23919,15.0,Yellow Exterior,Yellow Leather Seats,7-Speed Automatic Transmission,yes,Used,2012,4.5,8-Cylinder Gas Engine
  812 Superfast,388388,9123,14.0,Red Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,6.5,12-Cylinder Gas Engine
  F430 Coupe,109995,32698,13.5,Red Exterior,Tan Leather Seats,Automatic Transmission,yes,Used,2006,4.3,8-Cylinder Gas Engine
  488 GTB,224996,21945,18.5,Rosso Mugello Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,3.9,8-Cylinder Turbo Gas Engine
  812 Superfast,340000,28698,14.0,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,6.5,12-Cylinder Gas Engine
  F8 Tributo,399900,859,17.0,Bianco Avus Exterior,Crema Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  Roma,279999,251,19.5,Rosso Corsa Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Certified,2023,3.9,8-Cylinder Turbo Gas Engine
  GTC4Lusso,254988,16674,14.5,Grigio Silverstone Metallic Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,6.3,12-Cylinder Gas Engine
  F8 Spider,487998,2700,16.5,Black Exterior,Black With Red Stitching Leather Seats,7-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  Roma,262900,1205,19.5,Grigio Exterior,Beige Tradizione Leather Seats,8-Speed Automatic Transmission,yes,Used,2021,3.9,8-Cylinder Turbo Gas Engine
  458 Spider,259900,8337,15.0,White Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2013,4.5,8-Cylinder Gas Engine
  Portofino,209500,6634,19.0,Black Exterior,Red Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,479272,3452,16.5,Bianco Avus Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,489800,1865,16.5,Rosso Corsa Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,277895,3940,18.5,Nero Ds 1250 Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,3.9,8-Cylinder Turbo Gas Engine
  California,128895,11067,16.5,Bianco Avus Exterior,Rosso Leather Seats,7-Speed Automatic Transmission,yes,Used,2014,4.3,8-Cylinder Gas Engine
  F8 Tributo,379990,3296,17.0,Rossomugello Exterior,Cioccolato Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  812 GTS,579900,1158,13.5,Gray Exterior,Tortora Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021,6.5,12-Cylinder Gas Engine
  812 GTS,629995,1927,13.5,Grigio Scuro Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,6.5,12-Cylinder Gas Engine
  Portofino,217900,10825,19.0,Grigio Titanio Metallic Exterior,Bordeaux Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  812 Superfast,499000,3000,14.0,Rosso Corsa Exterior,Black Leather Seats,7-Speed Shiftable Automatic Transmission,yes,Used,2021,6.5,12-Cylinder Gas Engine
  California T,152990,2937,19.5,Argento Nurburgring Metallic Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2016,3.9,8-Cylinder Turbo Gas Engine
  360 Spider,129900,11361,12.5,Yellow Exterior,Black Leather Seats,6-Speed Automatic Transmission,yes,Used,2004,3.6,8-Cylinder Gas Engine
  458 Italia Coupe,229995,11051,15.0,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2011,4.5,8-Cylinder Gas Engine
  360 Spider,116995,12263,12.5,Silver Exterior,Saddle Leather Seats,Manual Transmission,yes,Used,2002,3.6,8-Cylinder Gas Engine
  F8 Tributo,389900,3159,17.0,Rosso Mugello Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  Roma,274988,3629,19.5,Argento Nurburgring Metallic Exterior,Bordeaux Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  F430 Spider,99999,37900,13.5,Black Exterior,Red/Black Leather Seats,6-Speed Automatic Transmission,yes,Used,2007,4.3,8-Cylinder Gas Engine
  Portofino M,299988,502,19.5,Bianco Avus Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  812 GTS,539990,3825,13.5,Rosso Mugello Exterior,Bordeaux Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,6.5,12-Cylinder Gas Engine
  599 GTB Fiorano,549900,728,13.0,Rosso Scuderia 2011 Exterior,Nero Leather Seats,6-Speed Manual Transmission,yes,Certified,2011,6.0,12-Cylinder Gas Engine
  FF,129000,37839,14.0,Bianco Italia Exterior,Natural Leather Leather Seats,7-Speed Automatic Transmission,no,Used,2012,6.3,12-Cylinder Gas Engine
  812 Superfast,385000,9345,14.0,Nero Ds Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,6.5,12-Cylinder Gas Engine
  F8 Spider,415000,5612,16.5,Bianco Avus Exterior,Carbon Leather Seats,7-Speed Automatic Transmission,yes,Used,2021,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,489900,5630,16.5,Giallo Triplo Strato Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2021,3.9,8-Cylinder Turbo Gas Engine
  Roma,259991,1702,19.5,Grigio Titanio Metallic Exterior,Cuoio Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  F8 Tributo,358995,8014,17.0,Bianco Avus Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020,3.9,8-Cylinder Turbo Gas Engine
  California T,154917,7822,19.5,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2016,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,263763,15093,18.5,Nero Ds 1250 Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,299500,2100,18.5,Rosso Scuderia Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  488 Pista Coupe,599000,113,17.5,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,3.9,8-Cylinder Turbo Gas Engine
  F430 Spider,154999,17101,13.5,Rosso Corsa Exterior,Crema Leather Seats,6-Speed Shiftable Automatic Transmission,yes,Used,2008,4.3,8-Cylinder Gas Engine
  Roma,269985,1384,19.5,Blu Abu Dhabi Metallic Exterior,Cuoio Leather Seats,8-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,329900,6001,18.5,Gray Exterior,Beige Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,279995,4700,18.5,Rosso Corsa Exterior,Tan Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  California T,127995,15368,19.5,Grigio Ingrid Metallic Exterior,Nero Interior,7-Speed Automatic Transmission,yes,Used,2015,3.9,8-Cylinder Turbo Gas Engine
  812 Superfast,364985,8641,14.0,Bianco Avus Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,6.5,12-Cylinder Gas Engine
  Roma,269900,228,19.5,Giallo Modena Exterior,Terra Bruciata Leather Seats,8-Speed Automatic Transmission,yes,Used,2023,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,259900,9999,18.5,Nero Ds 1250 Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017,3.9,8-Cylinder Turbo Gas Engine
  Portofino,249900,1991,19.0,Alluminio Opaco Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  F8 Tributo,362490,4392,17.0,Bianco Avus Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,279988,12976,18.5,Grigio Titanio Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,3.9,8-Cylinder Turbo Gas Engine
  F12 Berlinetta,275000,14496,14.0,Grigio Silverstone Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Certified,2014,6.3,12-Cylinder Gas Engine
  Portofino,219990,2529,19.0,Argento Nurburgring Metallic Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  488 Pista Coupe,585000,2409,17.5,Rosso Fuoco Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020,3.9,8-Cylinder Turbo Gas Engine
  360 Spider,189900,17674,12.5,Rosso Corse Exterior,Nero Leather Seats,Manual Transmission,yes,Used,2004,3.6,8-Cylinder Gas Engine
  F8 Tributo,409998,751,17.0,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  812 Superfast,399000,7374,14.0,Nero Ds 1250 Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,6.5,12-Cylinder Gas Engine
  Roma,329900,234,19.5,Bianco Avus Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Used,2023,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,279991,17386,18.5,Bianco Avus Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2017,3.9,8-Cylinder Turbo Gas Engine
  California T,139900,14791,19.5,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2015,3.9,8-Cylinder Turbo Gas Engine
  Portofino,237999,10306,19.0,Argento Nurburgring Metallic Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,3.9,8-Cylinder Turbo Gas Engine
