name,price,mileage,engine,mpg,ext_color,int_color,transmission,rwd,condition,year
Used 2021 Ferrari Roma,"239,900","4,328",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Grigio Titanio Metallic Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Used,2021
Used 2017 Ferrari 488 Spider,"284,995","6,900",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Red Exterior,Red Leather Seats,7-Speed Automatic Transmission,yes,Used,2017
Used 2014 Ferrari California,"129,991","12,697",4.3L 8-Cylinder Gas Engine,14 City / 19 Highway ,Blue Exterior,Tan Leather Seats,7-Speed Automatic Transmission,yes,Used,2014
Used 2022 Ferrari F8 Tributo,"384,991","4,595",3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Rosso Corsa Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Used,2022
Used 2016 Ferrari 488 GTB,"234,991","11,430",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Giallo Modena Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016
Certified 2020 Ferrari F8 Tributo,"369,995","6,518",3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Rosso Corsa Exterior,Leather Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020
Certified 2023 Ferrari Roma,"284,900",574,3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,White Exterior,Red Leather Seats,8-Speed Automatic Transmission,yes,Certified,2023
Certified 2020 Ferrari 488 Pista Coupe,"595,000",817,3.9L 8-Cylinder Turbo Gas Engine,15 City / 20 Highway ,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020
Used 2021 Ferrari Roma,"234,900","12,339",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Red Exterior,Gray Leather Seats,8-Speed Automatic Transmission,yes,Used,2021
Used 2016 Ferrari F12 Berlinetta,"269,900","8,990",6.3L 12-Cylinder Gas Engine,12 City / 16 Highway ,Nero Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016
Used 2004 Ferrari 360 Spider,"159,999","20,425",3.6L 8-Cylinder Gas Engine,10 City / 15 Highway ,Nero Ds Exterior,Nero Leather Seats,6-Speed Manual Transmission,yes,Used,2004
Certified 2019 Ferrari 488 GTB,"279,900","8,308",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Corsa Red Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
